Gene_id,logFC,padj
Novel00005,-2.727,0.044753
Novel00010,3.3508,2.74E-05
Novel00016,#NAME?,0.0082138
Novel00028,6.1348,0.0033598
Novel00037,-2.1418,0.0058274
Novel00039,3.3001,1.26E-08
Novel00044,2.9311,0.00028144
Novel00048,3.9955,0.00058738
Novel00050,-2.4832,0.024589
Novel00051,-2.7793,1.64E-05
Novel00052,-3.1421,0.00055296
Novel00053,-2.4723,0.0049448
Novel00056,2.2361,0.00086651
Novel00061,-2.3737,0.0049601
Novel00067,3.5434,0.047356
Novel00106,-4.0172,0.00074146
Novel00109,3.2076,0.003511
Novel00114,2.3422,0.03889
Novel00120,-3.0641,0.0006339
Novel00138,-2.5345,0.032294
Novel00146,4.6385,1.83E-08
Novel00147,6.4919,0.018709
Novel00157,6.8322,1.19E-23
Novel00177,-2.8515,0.039955
Novel00184,2.3378,0.0071538
Novel00188,-3.8458,0.002692
Novel00191,-2.9117,3.66E-08
Novel00194,-2.3105,0.027274
Parent=CDS_B0281.2,2.5218,0.012782
Parent=CDS_B0284.3_wp57,3.5645,1.74E-07
Parent=CDS_B0348.3_wp18,-1.6589,0.035099
Parent=CDS_B0507.15_wp261,Inf,0.013275
Parent=CDS_C01A2.6_wp188,4.9872,0.00069719
Parent=CDS_C05E4.12_wp221,8.1874,8.87E-36
Parent=CDS_C08E3.11_wp252,Inf,5.67E-06
Parent=CDS_C33C12.4_wp82,-3.0136,0.022033
Parent=CDS_C40A11.9_wp179,#NAME?,0.012781
Parent=CDS_C52E2.8,Inf,0.017116
Parent=CDS_C53A5.11_wp261,Inf,2.21E-18
Parent=CDS_D2062.11_wp21,8.5365,2.75E-46
Parent=CDS_F15D3.8_wp104,Inf,0.025331
Parent=CDS_F22G12.1_wp153,Inf,2.87E-05
Parent=CDS_F26F4.3_wp88,Inf,0.0016904
Parent=CDS_F35F10.3_wp21,-5.4742,1.10E-06
Parent=CDS_F36G9.7_wp193,#NAME?,0.040086
Parent=CDS_H12D21.8,1.6564,0.012853
Parent=CDS_H14A12.1,-2.4896,0.0053459
Parent=CDS_K08D10.10_wp227,#NAME?,0.015768
Parent=CDS_M04C3.1_wp87,2.2598,0.0011754
Parent=CDS_M151.5_wp185,-2.6923,0.016042
Parent=CDS_R03H10.6_wp94,3.2996,2.79E-10
Parent=CDS_R05G6.2,Inf,0.0031709
Parent=CDS_R06A4.3,1.6918,0.0065268
Parent=CDS_T09E11.11_wp187,-5.0965,2.49E-06
Parent=CDS_T12B5.8_wp91,-3.1671,2.87E-07
Parent=CDS_Y51H7C.14_wp64,1.8138,0.00092527
Parent=CDS_Y54F10BM.6_wp229,-1.8861,0.0056243
Parent=CDS_ZC239.6_wp90,1.9867,0.032325
Parent=Pseudogene_AH6.16,5.5288,2.54E-06
Parent=Pseudogene_B0250.12,-1.4247,0.041836
Parent=Pseudogene_B0281.7,Inf,2.79E-44
Parent=Pseudogene_B0284.5,2.4294,0.0049204
Parent=Pseudogene_B0507.15,Inf,0.047145
Parent=Pseudogene_C06C3.11,3.9241,0.00049894
